callo_id,tipo,area_pixeles,area_mm2,centroide_x,centroide_y,perimetro,circularidad,opacidad_media,imagen,fuente
9,callo,5106.5,51.06500000000001,355,383,316.8355666399002,0.6392420635386622,,p101.png,JSON
1,callo,5807.0,58.070000000000014,53,70,315.7056232690811,0.732144922835987,,p102.png,JSON
2,callo,5974.5,59.74500000000001,210,52,385.32084834575653,0.5056690976426514,,p102.png,JSON
3,callo,6055.5,60.555000000000014,359,62,369.9482647180557,0.5560039582397831,,p102.png,JSON
4,callo,6250.5,62.50500000000001,226,220,354.63455629348755,0.62454325135747,,p102.png,JSON
1,semilla,30.0,0.30000000000000004,75,239,21.656854152679443,0.8037858844573713,,p102.png,JSON
2,semilla,31.0,0.31000000000000005,355,232,21.656854152679443,0.830578747272617,,p102.png,JSON
3,semilla,23.5,0.23500000000000004,80,374,19.41421353816986,0.7834984145714698,,p102.png,JSON
4,semilla,27.5,0.2750000000000001,226,379,20.242640614509583,0.8433507360876418,,p102.png,JSON
5,semilla,31.0,0.31000000000000005,364,376,21.656854152679443,0.830578747272617,,p102.png,JSON
1,callo,1885.0,18.850000000000005,58,388,183.33809435367584,0.7047186949907308,,p103.png,Automatico
2,callo,2414.5,24.145000000000003,229,238,218.89444196224213,0.63323892803331,,p103.png,Automatico
3,callo,2724.0,27.240000000000006,378,213,218.65180230140686,0.7159964091899932,,p103.png,Automatico
4,callo,3870.5,38.705000000000005,379,71,293.3208496570587,0.5653157263517352,,p103.png,Automatico
1,callo,5155.5,51.55500000000001,91,88,321.4629844427109,0.6269295066101904,,p103.png,JSON
2,callo,3762.5,37.62500000000001,378,72,314.00714015960693,0.47952066241761354,,p103.png,JSON
3,callo,6378.5,63.78500000000001,63,249,380.77669155597687,0.5528250472096226,,p103.png,JSON
4,callo,2476.0,24.760000000000005,227,238,227.8233746290207,0.5994651539762524,,p103.png,JSON
5,callo,3133.5,31.335000000000004,378,215,265.3797228336334,0.5591187940119626,,p103.png,JSON
6,callo,2366.0,23.660000000000004,65,387,252.79393684864044,0.4652552661791319,,p103.png,JSON
7,callo,7177.0,71.77000000000001,226,384,365.0193326473236,0.676894642488457,,p103.png,JSON
8,callo,5954.5,59.54500000000001,352,366,343.1787132024765,0.6353521160780802,,p103.png,JSON
1,semilla,41.5,0.4150000000000001,226,85,25.071067690849304,0.8296832105416951,,p103.png,JSON
1,callo,2541.5,25.415000000000006,229,364,247.23758935928345,0.5224815717095453,,p110.png,Automatico
2,callo,1741.0,17.410000000000004,215,220,176.36753070354462,0.7033497966390133,,p110.png,Automatico
3,callo,5227.5,52.27500000000001,343,291,525.9726523160934,0.2374529546267558,,p110.png,Automatico
4,callo,2980.5,29.805000000000007,51,196,257.8650052547455,0.5632668257793019,,p110.png,Automatico
1,callo,6109.5,61.09500000000001,46,70,348.977702498436,0.6304057632819193,,p110.png,JSON
2,callo,4018.5,40.18500000000001,47,189,331.8061295747757,0.45867495539903125,,p110.png,JSON
3,callo,2359.0,23.590000000000003,213,219,224.50966620445251,0.5881223942172024,,p110.png,JSON
4,callo,2371.5,23.715000000000003,230,362,302.3502857685089,0.32599596614949466,,p110.png,JSON
5,callo,2796.5,27.965000000000007,341,244,319.46298384666443,0.3443369276962721,,p110.png,JSON
6,callo,2361.5,23.615000000000006,347,343,284.6934314966202,0.36613641062325253,,p110.png,JSON
1,semilla,23.0,0.23000000000000004,210,76,18.82842707633972,0.8152853129608119,,p110.png,JSON
2,semilla,28.0,0.28,355,73,20.82842707633972,0.811063667623605,,p110.png,JSON
3,semilla,35.5,0.3550000000000001,410,328,25.071067690849304,0.7097290114272332,,p110.png,JSON
4,semilla,23.5,0.23500000000000004,68,343,19.41421353816986,0.7834984145714698,,p110.png,JSON
1,callo,157.5,1.5750000000000004,167,394,55.21320307254791,0.6492389057856223,,p111.png,Automatico
2,callo,984.5,9.845000000000002,230,388,190.40916168689728,0.34123211860175884,,p111.png,Automatico
3,callo,506.0,5.060000000000001,319,322,92.42640614509583,0.7443346692971303,,p111.png,Automatico
4,callo,3377.0,33.77,60,330,300.7350627183914,0.46921597928090086,,p111.png,Automatico
5,callo,342.5,3.4250000000000007,332,226,83.01219284534454,0.6245779777962664,,p111.png,Automatico
6,callo,682.5,6.825000000000001,165,161,151.78174495697021,0.3722831988794719,,p111.png,Automatico
